intervenant,parti,intervention,text_cleaned,emotions
Caroline Fiat,LFI,"
C'est incroyable : après un rappel au règlement au cours duquel vous nous demandez de nous calmer, collègues, je ne peux même pas m'exprimer ! Trois ans plus tard,… ",c'est incroyable  après un rappel au règlement au cours duquel vous nous demandez de nous calmer collègues je ne peux même pas m'exprimer  trois ans plus tard…,"[{'label': 'joy', 'score': 0.6147006154060364}]"
Yaël Braun-Pivet,REN,"
Merci, madame Fiat. ",merci madame fiat.,"[{'label': 'anger', 'score': 0.8334397077560425}]"
Caroline Fiat,LFI,"
…remercier ces agents en leur supprimant leur régime spécial, bravo ! ",…remercier ces agents en leur supprimant leur régime spécial bravo ,"[{'label': 'joy', 'score': 0.8407080769538879}]"
Bruno Millienne,MODEM,"
Ce sont eux qui braillent ! ",ce sont eux qui braillent ,"[{'label': 'anger', 'score': 0.5022383332252502}]"
Yaël Braun-Pivet,REN,"
La parole est à M. Sébastien Jumel. ",la parole est à m. sébastien jumel.,"[{'label': 'joy', 'score': 0.7167036533355713}]"
Sébastien Jumel,GDR,"
La nuit dernière, à trois heures et demie du matin, à Chambéry, une panne a privé 1 280 foyers d'électricité. Les agents en grève n'ont pas hésité une seconde à se mobiliser, permettant ainsi qu'à cinq heures trente, chaque foyer de Chambéry ait de nouveau du courant : c'est vous dire que lorsque nous parlons du sens du service public, nous ne sommes pas en dessous de la vérité.Mon collègue Davy Rimane a dit que vous étiez hypocrites, collègues. Je considère qu'il est même en dessous de la vérité : en fait, vous mentez effrontément. ",la nuit dernière à trois heures et demie du matin à chambéry une panne a privé   foyers d'électricité. les agents en grève n'ont pas hésité une seconde à se mobiliser permettant ainsi qu'à cinq heures trente chaque foyer de chambéry ait de nouveau du courant  c'est vous dire que lorsque nous parlons du sens du service public nous ne sommes pas en dessous de la vérité.mon collègue davy rimane a dit que vous étiez hypocrites collègues. je considère qu'il est même en dessous de la vérité  en fait vous mentez effrontément.,"[{'label': 'anger', 'score': 0.522813081741333}]"
Ugo Bernalicis,LFI,"
Oui ! ",oui ,"[{'label': 'anger', 'score': 0.7670425772666931}]"
Sébastien Jumel,GDR,"
Vous mentez sciemment. Vous mentez comme des arracheurs de dents ! Un marchand de savonnettes peut aujourd'hui se transformer en marchand d'électricité, acheter de l'énergie à 42 euros à EDF puis la revendre à 500, 600 ou 800 euros sur le dos des usagers, des boulangers et de l'industrie réelle, siphonnant ainsi plus de 8 milliards d'euros dans les finances d'EDF au cours de l'année écoulée ! ",vous mentez sciemment. vous mentez comme des arracheurs de dents  un marchand de savonnettes peut aujourd'hui se transformer en marchand d'électricité acheter de l'énergie à  euros à edf puis la revendre à   ou  euros sur le dos des usagers des boulangers et de l'industrie réelle siphonnant ainsi plus de  milliards d'euros dans les finances d'edf au cours de l'année écoulée ,"[{'label': 'joy', 'score': 0.6749716401100159}]"
Sébastien Jumel,GDR,"
Et vous n'hésitez pas à mentir en prétendant que ce serait la CTA qui pèserait sur les pauvres usagers. Mais de qui vous moquez-vous ? ",et vous n'hésitez pas à mentir en prétendant que ce serait la cta qui pèserait sur les pauvres usagers. mais de qui vous moquezvous ,"[{'label': 'joy', 'score': 0.5891684293746948}]"
Ugo Bernalicis,LFI,"
Du peuple ! ",du peuple ,"[{'label': 'anger', 'score': 0.693602979183197}]"
Sébastien Jumel,GDR,"
Vous voulez flinguer le service public et ses ambassadeurs, ceux qui le font vivre au quotidien. C'est la raison pour laquelle nous défendons et le premier et les seconds ! ",vous voulez flinguer le service public et ses ambassadeurs ceux qui le font vivre au quotidien. c'est la raison pour laquelle nous défendons et le premier et les seconds ,"[{'label': 'joy', 'score': 0.5933599472045898}]"
Yaël Braun-Pivet,REN,"
La parole est à M. Nicolas Turquois. ",la parole est à m. nicolas turquois.,"[{'label': 'joy', 'score': 0.6255744695663452}]"
Nicolas Turquois,MODEM,"
Je crois que je vais finir par remercier nos collègues de la NUPES. Il y a des arguments dont on aurait pu discuter, mais vous êtes dans l'excès et dans l'outrance, collègues ! ",je crois que je vais finir par remercier nos collègues de la nupes. il y a des arguments dont on aurait pu discuter mais vous êtes dans l'excès et dans l'outrance collègues ,"[{'label': 'anger', 'score': 0.9541578888893127}]"
Sébastien Jumel,GDR,"
Et vous dans la modestie ! ",et vous dans la modestie ,"[{'label': 'joy', 'score': 0.759614109992981}]"
Nicolas Turquois,MODEM,"
J'ai reçu les témoignages de personnes qui doutent au sujet de cette réforme… ",j'ai reçu les témoignages de personnes qui doutent au sujet de cette réforme…,"[{'label': 'anger', 'score': 0.5528812408447266}]"
Nicolas Turquois,MODEM,"
…mais qui trouvent vos argumentaires tellement excessifs que vous en êtes décrédibilisés à leurs yeux. ",…mais qui trouvent vos argumentaires tellement excessifs que vous en êtes décrédibilisés à leurs yeux.,"[{'label': 'anger', 'score': 0.8734813332557678}]"
Benjamin Haddad,REN,"
Les députés de la NUPES sont les meilleurs ambassadeurs de la réforme ! ",les députés de la nupes sont les meilleurs ambassadeurs de la réforme ,"[{'label': 'anger', 'score': 0.6218063831329346}]"
Nicolas Turquois,MODEM,"
Devons-nous remercier les électriciens et les gaziers ? Bien sûr ! ",devonsnous remercier les électriciens et les gaziers  bien sûr ,"[{'label': 'joy', 'score': 0.7490367889404297}]"
Nicolas Turquois,MODEM,"
Mais nous devons le faire aussi pour les policiers, les aides-soignants, les garagistes, les agriculteurs, les salariés des magasins, le personnel de l'Assemblée ! ",mais nous devons le faire aussi pour les policiers les aidessoignants les garagistes les agriculteurs les salariés des magasins le personnel de l'assemblée ,"[{'label': 'joy', 'score': 0.5805603861808777}]"
Mathilde Panot,LFI,"
Deux ans ferme pour tout le monde ! ",deux ans ferme pour tout le monde ,"[{'label': 'anger', 'score': 0.5359107851982117}]"
Nicolas Turquois,MODEM,"
Bref, nous avons tous notre place dans la société ! ",bref nous avons tous notre place dans la société ,"[{'label': 'joy', 'score': 0.6207065582275391}]"
Yaël Braun-Pivet,REN,"
S'il vous plaît, chers collègues, un peu de calme ! ",s'il vous plaît chers collègues un peu de calme ,"[{'label': 'joy', 'score': 0.8796373605728149}]"
Nicolas Turquois,MODEM,"
C'est le principe : nous faisons corps, nous faisons société ! Tous, pour tous : c'est le principe du système par répartition ! Ce n'est pas tous pour chacun, ou tous pour des intérêts particuliers ! ",c'est le principe  nous faisons corps nous faisons société  tous pour tous  c'est le principe du système par répartition  ce n'est pas tous pour chacun ou tous pour des intérêts particuliers ,"[{'label': 'anger', 'score': 0.555791974067688}]"
Nicolas Turquois,MODEM,"
Deuxièmement, les carrières sont aujourd'hui diversifiées, ce qui conduit certains à être polypensionnés. Le système de retraite se heurte à cette réalité. Il faut donc l'adapter et, tout en reconnaissant la pénibilité de certains gestes et de certains métiers, aller vers un système homogène, et non vers un ensemble de systèmes particuliers. Le groupe Démocrate est défavorable à cet amendement et à ceux qui poursuivent le même objectif. ",deuxièmement les carrières sont aujourd'hui diversifiées ce qui conduit certains à être polypensionnés. le système de retraite se heurte à cette réalité. il faut donc l'adapter et tout en reconnaissant la pénibilité de certains gestes et de certains métiers aller vers un système homogène et non vers un ensemble de systèmes particuliers. le groupe démocrate est défavorable à cet amendement et à ceux qui poursuivent le même objectif.,"[{'label': 'anger', 'score': 0.44450727105140686}]"
Sébastien Jumel,GDR,"
Ils sauront vous remercier ! ",ils sauront vous remercier ,"[{'label': 'joy', 'score': 0.6762669086456299}]"
Yaël Braun-Pivet,REN,"
Je suis saisie de deux amendements identiques, n° 17535  et 18093 .La parole est à Mme Karine Lebon, pour soutenir l'amendement n° 17535 . ",je suis saisie de deux amendements identiques n°  et  .la parole est à mme karine lebon pour soutenir l'amendement n°  .,"[{'label': 'anger', 'score': 0.43922463059425354}]"
Karine Lebon,GDR,"
Les professionnels des industries électriques et gazières, comme les trois quarts des Français d'ailleurs, sont particulièrement mobilisés contre votre réforme. Ils l'ont montré dans la rue et le montreront encore samedi. Malgré les tentatives de décrédibilisation de ces salariés, nous restons pleinement solidaires de leur mouvement, et je le redis : les chiffres de la participation à la mobilisation sont à ce titre très éloquents.Les conquis sociaux dont nous parlons permettent d'attirer et de fidéliser dans une profession qui a également ses servitudes. L'un des aspects importants des régimes spéciaux est la prise en compte de la pénibilité et de ses effets : contrairement au régime général, ces régimes compensent, notamment par un départ anticipé, les effets de la pénibilité subie au travail. Parmi les témoignages que nous avons recueillis, il en est un qui m'a marqué : celui d'Olivier, qui se sent broyé physiquement par les heures passées à genoux devant les coffrets électriques et les interventions physiquement exigeantes en haut des pylônes, à toute heure du jour et de la nuit. Et ce n'est qu'un exemple parmi tant d'autres.Mon collègue Sébastien Jumel vient de vous parler de Chambéry. Quant à moi, je vais vous parler de La Réunion, pour changer. Combien de foyers réunionnais ont-ils été privés d'électricité l'année dernière, à la suite du passage d'un cyclone nommé Batsirai ? Plus de 100 000 ! Là encore, le sens du service public des agents a été exemplaire : ils ont travaillé sans relâche, jour et nuit, pour rétablir l'électricité dans la majorité des foyers le plus vite possible. ",les professionnels des industries électriques et gazières comme les trois quarts des français d'ailleurs sont particulièrement mobilisés contre votre réforme. ils l'ont montré dans la rue et le montreront encore samedi. malgré les tentatives de décrédibilisation de ces salariés nous restons pleinement solidaires de leur mouvement et je le redis  les chiffres de la participation à la mobilisation sont à ce titre très éloquents.les conquis sociaux dont nous parlons permettent d'attirer et de fidéliser dans une profession qui a également ses servitudes. l'un des aspects importants des régimes spéciaux est la prise en compte de la pénibilité et de ses effets  contrairement au régime général ces régimes compensent notamment par un départ anticipé les effets de la pénibilité subie au travail. parmi les témoignages que nous avons recueillis il en est un qui m'a marqué  celui d'olivier qui se sent broyé physiquement par les heures passées à genoux devant les coffrets électriques et les interventions physiquement exigeantes en haut des pylônes à toute heure du jour et de la nuit. et ce n'est qu'un exemple parmi tant d'autres.mon collègue sébastien jumel vient de vous parler de chambéry. quant à moi je vais vous parler de la réunion pour changer. combien de foyers réunionnais ontils été privés d'électricité l'année dernière à la suite du passage d'un cyclone nommé batsirai  plus de    là encore le sens du service public des agents a été exemplaire  ils ont travaillé sans relâche jour et nuit pour rétablir l'électricité dans la majorité des foyers le plus vite possible.,"[{'label': 'joy', 'score': 0.53337162733078}, {'label': 'anger', 'score': 0.5441878437995911}, {'label': 'joy', 'score': 0.876898467540741}]"
Karine Lebon,GDR,"
Alors, au lieu de vous attaquer à leur conquis sociaux, vous devriez au contraire lancer un plan d'investissement massif dans nos infrastructures productrices d'électricité, afin d'améliorer l'accès de nos concitoyens à ce service qui, on le voit, est malheureusement défaillant. ",alors au lieu de vous attaquer à leur conquis sociaux vous devriez au contraire lancer un plan d'investissement massif dans nos infrastructures productrices d'électricité afin d'améliorer l'accès de nos concitoyens à ce service qui on le voit est malheureusement défaillant.,"[{'label': 'joy', 'score': 0.7855129241943359}]"
Yaël Braun-Pivet,REN,"
L'amendement n° 18093  de Mme Elsa Faucillon est défendu.Quel est l'avis de la commission ? ",l'amendement n°  de mme elsa faucillon est défendu.quel est l'avis de la commission ,"[{'label': 'anger', 'score': 0.6899416446685791}]"
Stéphanie Rist,REN,"
Demande de retrait : en supprimant l'alinéa 11, ces amendements suppriment la clause du grand-père. ",demande de retrait  en supprimant l'alinéa  ces amendements suppriment la clause du grandpère.,"[{'label': 'anger', 'score': 0.672214686870575}]"
Yaël Braun-Pivet,REN,"
Quel est l'avis du Gouvernement ? ",quel est l'avis du gouvernement ,"[{'label': 'joy', 'score': 0.5266515612602234}]"
Yaël Braun-Pivet,REN,"
La parole est à Mme Mathilde Panot. ",la parole est à mme mathilde panot.,"[{'label': 'joy', 'score': 0.5793801546096802}]"
Mathilde Panot,LFI,"
La première chose que je voudrais dire, au nom du groupe La France insoumise, c'est notre admiration totale pour les électriciens et les gaziers qui, pour combattre votre réforme des retraites, rétablissent le courant chez des gens à qui on l'a coupé ! ",la première chose que je voudrais dire au nom du groupe la france insoumise c'est notre admiration totale pour les électriciens et les gaziers qui pour combattre votre réforme des retraites rétablissent le courant chez des gens à qui on l'a coupé ,"[{'label': 'joy', 'score': 0.7472884058952332}]"
Mathilde Panot,LFI,"
Dans le septième pays le plus riche au monde, 300 000 familles sont privées de courant ! Je dis mon admiration totale pour les électriciens et les gaziers qui, à Marseille, ont décidé de basculer en tarif heures creuses les artisans boulangers, actuellement étranglés par la hausse des prix de l'énergie et qui se demandent comment ne pas fermer boutique ! ",dans le septième pays le plus riche au monde   familles sont privées de courant  je dis mon admiration totale pour les électriciens et les gaziers qui à marseille ont décidé de basculer en tarif heures creuses les artisans boulangers actuellement étranglés par la hausse des prix de l'énergie et qui se demandent comment ne pas fermer boutique ,"[{'label': 'joy', 'score': 0.6185963153839111}]"
Mathilde Panot,LFI,"
Nous sommes tout à fait conscients de ce que signifie la suppression du régime pionnier de celles et ceux qui relèvent du statut des IEG, parce qu'aujourd'hui, certains salariés qui devraient dépendre de l'industrie électro-gazière n'en dépendent pas ! Je veux parler évidemment des sous-traitants du nucléaire. ",nous sommes tout à fait conscients de ce que signifie la suppression du régime pionnier de celles et ceux qui relèvent du statut des ieg parce qu'aujourd'hui certains salariés qui devraient dépendre de l'industrie électrogazière n'en dépendent pas  je veux parler évidemment des soustraitants du nucléaire.,"[{'label': 'anger', 'score': 0.6508417129516602}]"
Mathilde Panot,LFI,"
Je voudrais évoquer notamment Patrice Girardier, âgé de 33 ans et père de famille, qui s'est battu pendant deux ans contre un cancer de la thyroïde. L'Autorité de sûreté nucléaire (ASN) a estimé que les dosimètres étaient trop souvent absents. Cela vous fait peut-être rire, collègues, mais outre que sa maladie professionnelle n'a pas été reconnue, il a été licencié pour inaptitude ! ",je voudrais évoquer notamment patrice girardier âgé de  ans et père de famille qui s'est battu pendant deux ans contre un cancer de la thyroïde. l'autorité de sûreté nucléaire asn a estimé que les dosimètres étaient trop souvent absents. cela vous fait peutêtre rire collègues mais outre que sa maladie professionnelle n'a pas été reconnue il a été licencié pour inaptitude ,"[{'label': 'anger', 'score': 0.5864784121513367}]"
Mathilde Panot,LFI,"
Dépourvus du statut des IEG, les sous-traitants du nucléaire réalisent pourtant 80 % des opérations de maintenance dans les centrales et reçoivent donc 80 % de la dose radioactive. C'est ce que vous êtes en train de faire en détruisant ces régimes pionniers, en détruisant les conditions de travail et donc en détruisant aussi les conditions de la sûreté et de la sécurité de tous. ",dépourvus du statut des ieg les soustraitants du nucléaire réalisent pourtant   des opérations de maintenance dans les centrales et reçoivent donc   de la dose radioactive. c'est ce que vous êtes en train de faire en détruisant ces régimes pionniers en détruisant les conditions de travail et donc en détruisant aussi les conditions de la sûreté et de la sécurité de tous.,"[{'label': 'fear', 'score': 0.39338260889053345}]"
Bruno Millienne,MODEM,"
Quelle démagogie ! ",quelle démagogie ,"[{'label': 'anger', 'score': 0.9906134605407715}]"
Yaël Braun-Pivet,REN,"
Je vous remercie, madame Panot. ",je vous remercie madame panot.,"[{'label': 'joy', 'score': 0.6906993389129639}]"
Mathilde Panot,LFI,"
Je vais vous dire une dernière chose : nous, nous voulons étendre… ",je vais vous dire une dernière chose  nous nous voulons étendre…,"[{'label': 'anger', 'score': 0.5926835536956787}]"
Yaël Braun-Pivet,REN,"
La parole est à Mme Annie Vidal. ",la parole est à mme annie vidal.,"[{'label': 'joy', 'score': 0.6735259294509888}]"
Annie Vidal,REN,"
À ce stade du débat, j'aimerais m'arrêter sur ce que nous entendons. ",à ce stade du débat j'aimerais m'arrêter sur ce que nous entendons.,"[{'label': 'anger', 'score': 0.5875893831253052}]"
Matthias Tavel,LFI,"
Oui, arrêtez-vous ! ",oui arrêtezvous ,"[{'label': 'anger', 'score': 0.6395740509033203}]"
Annie Vidal,REN,"
Bien sûr, nous avons tous ici, sur tous les bancs, un profond respect pour les personnes qui travaillent dans les industries énergétiques et gazières. Nous avons un profond respect également pour les soignants, pour toutes celles et tous ceux qui se lèvent le matin, qui travaillent tous les jours et qui font vivre notre pays. ",bien sûr nous avons tous ici sur tous les bancs un profond respect pour les personnes qui travaillent dans les industries énergétiques et gazières. nous avons un profond respect également pour les soignants pour toutes celles et tous ceux qui se lèvent le matin qui travaillent tous les jours et qui font vivre notre pays.,"[{'label': 'anger', 'score': 0.5208218693733215}]"
Annie Vidal,REN,"
Mais aujourd'hui, nous débattons de la réforme des retraites. Vous n'avez de cesse de nous dire « retirez votre réforme »… ",mais aujourd'hui nous débattons de la réforme des retraites. vous n'avez de cesse de nous dire « retirez votre réforme »…,"[{'label': 'joy', 'score': 0.5370710492134094}]"
Sébastien Jumel,GDR,"
Oui, c'est ça ! ",oui c'est ça ,"[{'label': 'anger', 'score': 0.6640305519104004}]"
Annie Vidal,REN,"
…et vous faites tout pour organiser le chaos et pour ne pas débattre. Chemin faisant, vous parlez de manière incohérente de l'âge, de la pénibilité et des carrières longues, mais vous refusez le débat de fond : vous faites un travail d'obstruction systématique, de sape. Cela n'est pas respectueux des enjeux qui existent autour de cette réforme. Vous nous dites sans cesse de la retirer.Non, nous ne retirerons pas notre réforme ! Nous voulons augmenter les retraites minimales, pas vous ! Nous voulons éviter les déficits, pas vous ! Nous voulons prendre en compte les carrières longues, pas vous ! Nous voulons travailler sur la pénibilité, pas vous ! Nous voulons travailler pour prévenir l'usure professionnelle, pas vous, puisque vous refusez ce texte qui intègre toutes ces données ! ",…et vous faites tout pour organiser le chaos et pour ne pas débattre. chemin faisant vous parlez de manière incohérente de l'âge de la pénibilité et des carrières longues mais vous refusez le débat de fond  vous faites un travail d'obstruction systématique de sape. cela n'est pas respectueux des enjeux qui existent autour de cette réforme. vous nous dites sans cesse de la retirer.non nous ne retirerons pas notre réforme  nous voulons augmenter les retraites minimales pas vous  nous voulons éviter les déficits pas vous  nous voulons prendre en compte les carrières longues pas vous  nous voulons travailler sur la pénibilité pas vous  nous voulons travailler pour prévenir l'usure professionnelle pas vous puisque vous refusez ce texte qui intègre toutes ces données ,"[{'label': 'anger', 'score': 0.8156617283821106}, {'label': 'anger', 'score': 0.783672034740448}]"
Annie Vidal,REN,"
Vous ne voulez pas défendre les intérêts de celles et ceux qui, tous les jours, se lèvent pour faire vivre notre pays. ",vous ne voulez pas défendre les intérêts de celles et ceux qui tous les jours se lèvent pour faire vivre notre pays.,"[{'label': 'joy', 'score': 0.6463049054145813}]"
Yaël Braun-Pivet,REN,"
La parole est à Mme Laure Lavalette. ",la parole est à mme laure lavalette.,"[{'label': 'joy', 'score': 0.6635541915893555}]"
Laure Lavalette,RN,"
Des trois régimes que nous souhaitons voir conserver, celui de la branche professionnelle des industries électriques et gazières revêt une signification particulière, pour toutes les raisons qui ne cessent d'être évoquées. Les entreprises qui exercent des activités de production, de transport, de distribution, de commercialisation et de fourniture d'électricité et de gaz font face à de fortes disparités, tant en termes de salaire que de primes. Le calcul actuel des pensions permet non seulement de gommer ces inégalités mais aussi de prendre en compte la pénibilité de ceux qui occupent les postes en service insalubre.La conjoncture, créée notamment par le Gouvernement, nous appelle également à la retenue quant au statut des 136 000 futurs actifs rattachés à la branche. Alors, de grâce, n'ajoutons pas à la crise matérielle de l'énergie une crise future des ressources humaines !Et si le Gouvernement comptait sur la suppression de ce régime pour baisser la CTA, nous lui suggérons plutôt d'agir sur la taxe intérieure de consommation sur les produits énergétiques (TICPE) et la TVA, comme nous le recommandons depuis de trop longues années. ",des trois régimes que nous souhaitons voir conserver celui de la branche professionnelle des industries électriques et gazières revêt une signification particulière pour toutes les raisons qui ne cessent d'être évoquées. les entreprises qui exercent des activités de production de transport de distribution de commercialisation et de fourniture d'électricité et de gaz font face à de fortes disparités tant en termes de salaire que de primes. le calcul actuel des pensions permet non seulement de gommer ces inégalités mais aussi de prendre en compte la pénibilité de ceux qui occupent les postes en service insalubre.la conjoncture créée notamment par le gouvernement nous appelle également à la retenue quant au statut des   futurs actifs rattachés à la branche. alors de grâce n'ajoutons pas à la crise matérielle de l'énergie une crise future des ressources humaines et si le gouvernement comptait sur la suppression de ce régime pour baisser la cta nous lui suggérons plutôt d'agir sur la taxe intérieure de consommation sur les produits énergétiques ticpe et la tva comme nous le recommandons depuis de trop longues années.,"[{'label': 'joy', 'score': 0.46904540061950684}, {'label': 'anger', 'score': 0.7019175291061401}]"
Yaël Braun-Pivet,REN,"
La parole est à M. Marcellin Nadeau. ",la parole est à m. marcellin nadeau.,"[{'label': 'joy', 'score': 0.5454267859458923}]"
Marcellin Nadeau,GDR,"
Il me revient ces mots de Césaire sur la manière de se perdre « par dilution dans l'universel ». Je crois que c'est ce que vous êtes en train de faire avec un certain nombre de conquêtes et d'acquis sociaux. Karine Lebon a parlé de La Réunion ; j'ai été maire d'une commune rurale excentrée de Martinique et j'ai vu les agents de EDF venir rétablir l'électricité au lendemain de cyclones ou de tempêtes, redonnant aux habitants goût à la vie, car l'énergie, c'est la vie ! Je veux exprimer ce soir tout le respect que j'ai pour eux, pour leur dévouement et pour le service qu'ils rendent aux populations, notamment celles exposées aux risques naturels. Ne diluez pas dans l'universel leurs acquis sociaux, ils les méritent amplement ! ",il me revient ces mots de césaire sur la manière de se perdre « par dilution dans l'universel ». je crois que c'est ce que vous êtes en train de faire avec un certain nombre de conquêtes et d'acquis sociaux. karine lebon a parlé de la réunion ; j'ai été maire d'une commune rurale excentrée de martinique et j'ai vu les agents de edf venir rétablir l'électricité au lendemain de cyclones ou de tempêtes redonnant aux habitants goût à la vie car l'énergie c'est la vie  je veux exprimer ce soir tout le respect que j'ai pour eux pour leur dévouement et pour le service qu'ils rendent aux populations notamment celles exposées aux risques naturels. ne diluez pas dans l'universel leurs acquis sociaux ils les méritent amplement ,"[{'label': 'joy', 'score': 0.6046493649482727}, {'label': 'joy', 'score': 0.9326183199882507}]"
Yaël Braun-Pivet,REN,"
La parole est à M. Arthur Delaporte. ",la parole est à m. arthur delaporte.,"[{'label': 'joy', 'score': 0.5727357268333435}]"
Arthur Delaporte,SOC,"
Notre chère collègue Vidal nous a appelés au respect. Le respect ne s'exprime pas seulement par les mots et les remerciements aux soignants, il s'accompagne de gestes – comme celui de défendre cet amendement. Avec cette réforme, vous témoignez une défiance à l'égard de toutes celles et ceux qui font tourner le pays. ",notre chère collègue vidal nous a appelés au respect. le respect ne s'exprime pas seulement par les mots et les remerciements aux soignants il s'accompagne de gestes – comme celui de défendre cet amendement. avec cette réforme vous témoignez une défiance à l'égard de toutes celles et ceux qui font tourner le pays.,"[{'label': 'anger', 'score': 0.9901992082595825}]"
Émilie Bonnivard,LR,"
Arrêtez votre cinéma ! ",arrêtez votre cinéma ,"[{'label': 'anger', 'score': 0.4488479793071747}]"
Arthur Delaporte,SOC,"
Si les gens sont dans la rue, c'est qu'ils estiment leur dignité menacée. Les électriciens gaziers ont obtenu ces acquis dans une période où l'on avait besoin d'eux pour reconstruire le pays ; aujourd'hui, il faut les aider car ils continuent à faire tourner le pays ! ",si les gens sont dans la rue c'est qu'ils estiment leur dignité menacée. les électriciens gaziers ont obtenu ces acquis dans une période où l'on avait besoin d'eux pour reconstruire le pays ; aujourd'hui il faut les aider car ils continuent à faire tourner le pays ,"[{'label': 'joy', 'score': 0.521307110786438}]"
Émilie Bonnivard,LR,"
Je n'en peux plus. Il y en a assez de ceux qui se font mousser ! ",je n'en peux plus. il y en a assez de ceux qui se font mousser ,"[{'label': 'joy', 'score': 0.7377505898475647}]"
Yaël Braun-Pivet,REN,"
La parole est à Mme Cyrielle Chatelain. ",la parole est à mme cyrielle chatelain.,"[{'label': 'joy', 'score': 0.6200382113456726}]"
Cyrielle Chatelain,ECO,"
L'un des problèmes de ce débat, c'est que nous ne parlons pas le même langage. ",l'un des problèmes de ce débat c'est que nous ne parlons pas le même langage.,"[{'label': 'anger', 'score': 0.47935742139816284}]"
Cyrielle Chatelain,ECO,"
De nombreux collègues ont relayé des témoignages, ils portent la parole de ces personnes que nous rencontrons tous les jours dans les manifestations, dans nos circonscriptions. Vous, vous ne comprenez que les chiffres. ",de nombreux collègues ont relayé des témoignages ils portent la parole de ces personnes que nous rencontrons tous les jours dans les manifestations dans nos circonscriptions. vous vous ne comprenez que les chiffres.,"[{'label': 'joy', 'score': 0.46116697788238525}]"
Fabien Di Filippo,LR,"
Oui, parlons de chiffres ! ",oui parlons de chiffres ,"[{'label': 'anger', 'score': 0.5793896317481995}]"
Benjamin Lucas,ECO,"
Ce sont des tableurs Excel ! ",ce sont des tableurs excel ,"[{'label': 'joy', 'score': 0.8518125414848328}]"
Cyrielle Chatelain,ECO,"
Je vais donc essayer de parler de chiffres. Vous dites que de nombreuses personnes sont en situation de pénibilité ; vous avez raison. Mais là où vous préférez supprimer les quelques protections acquises par le combat social, nous disons qu'il faut les étendre. ",je vais donc essayer de parler de chiffres. vous dites que de nombreuses personnes sont en situation de pénibilité ; vous avez raison. mais là où vous préférez supprimer les quelques protections acquises par le combat social nous disons qu'il faut les étendre.,"[{'label': 'anger', 'score': 0.5604990124702454}]"
Bruno Millienne,MODEM,"
Avec quel argent ? ",avec quel argent ,"[{'label': 'anger', 'score': 0.6443254351615906}]"
Laurent Croizier,MODEM,"
Comment faites-vous pour financer ? ",comment faitesvous pour financer ,"[{'label': 'joy', 'score': 0.6549861431121826}]"
Cyrielle Chatelain,ECO,"
Savez-vous que parmi les hommes français de plus de 60 ans les plus modestes, 30 % ont une espérance de vie de quinze ans – contre vingt-quatre ans en moyenne – et que 15 % d'entre eux ne profiteront même pas de la retraite ? Ce dont nous parlons, c'est de l'égalité face à ce temps de la vie, ce temps qu'on a pour soi après une vie abîmée.Nous sommes bien contents, dans nos circonscriptions, de trouver ces agents pour qu'ils rétablissent le courant à des familles qui n'arrivent pas à payer la facture. C'est l'hiver, et nous savons combien ce travail est essentiel.Alors comprenez ce que disent ces chiffres : quand on a eu un métier pénible, qu'on a travaillé la nuit, dans le froid, quand les mains, le corps ont donné, on a besoin du repos. ",savezvous que parmi les hommes français de plus de  ans les plus modestes   ont une espérance de vie de quinze ans – contre vingtquatre ans en moyenne – et que   d'entre eux ne profiteront même pas de la retraite  ce dont nous parlons c'est de l'égalité face à ce temps de la vie ce temps qu'on a pour soi après une vie abîmée.nous sommes bien contents dans nos circonscriptions de trouver ces agents pour qu'ils rétablissent le courant à des familles qui n'arrivent pas à payer la facture. c'est l'hiver et nous savons combien ce travail est essentiel.alors comprenez ce que disent ces chiffres  quand on a eu un métier pénible qu'on a travaillé la nuit dans le froid quand les mains le corps ont donné on a besoin du repos.,"[{'label': 'joy', 'score': 0.5866691470146179}, {'label': 'joy', 'score': 0.6118950247764587}]"
Émilie Bonnivard,LR,"
Vous refusez qu'on parle de la pénibilité ! ",vous refusez qu'on parle de la pénibilité ,"[{'label': 'anger', 'score': 0.7007237076759338}]"
Cyrielle Chatelain,ECO,"
Si les régimes spéciaux vous font peur, notamment celui des électriciens gaziers, c'est qu'ils ont été gagnés par le combat, lorsque les gens ont relevé la tête. Cela rappelle à toute la France que quand on se lève pour ses droits, on peut gagner. Voilà ce qui vous fait peur ! ",si les régimes spéciaux vous font peur notamment celui des électriciens gaziers c'est qu'ils ont été gagnés par le combat lorsque les gens ont relevé la tête. cela rappelle à toute la france que quand on se lève pour ses droits on peut gagner. voilà ce qui vous fait peur ,"[{'label': 'anger', 'score': 0.6213634610176086}]"
Yaël Braun-Pivet,REN,"
La parole est à M. Paul Christophe. ",la parole est à m. paul christophe.,"[{'label': 'joy', 'score': 0.7116261720657349}]"
