intervenant,parti,intervention
Charlotte Parmentier-Lecocq,REN,"
Vous souhaitez les maintenir mais vous vous abstenez. Bref, vous n'affichez jamais clairement votre position, pour éviter d'avoir à annoncer les mauvaises nouvelles, et vous avancez en toute tranquillité tels des sous-marins. "
Charlotte Parmentier-Lecocq,REN,"
Quant à la NUPES, après ces trois jours et demi de débats – si on peut appeler cela des débats –, elle persévère dans l'obstruction et le blocage, dans les menaces et les invectives, dans les mensonges et les intimidations. . "
Charlotte Parmentier-Lecocq,REN,"
Nous attendons que chaque groupe prenne clairement position afin que nous puissions avancer dans la discussion. "
Maxime Minot,LR,"
Très utile, vraiment ! "
Danièle Obono,LFI,"
Très intelligent ! "
Hélène Laporte,RN,"
L'amendement n° 20080  de Mme la rapporteure générale est rédactionnel. "
Hélène Laporte,RN,"
L'amendement n° 1001  de M. Stéphane Viry est défendu. "
Hélène Laporte,RN,"
La parole est à M. Marc Le Fur, pour soutenir l'amendement n° 20094 . "
Marc Le Fur,LR,"
Cet amendement me permet d'évoquer une profession méritant toute notre attention : les chauffeurs routiers, qui effectuent un travail exigeant en couvrant des distances gigantesques sur l'ensemble de notre territoire. Leur régime de retraite n'est absolument pas un régime spécial, mais il comporte des spécificités, qui sont le fruit d'une concertation entre employeurs et employés. L'âge de départ de la retraite est, par exemple, fixé à 57 ans.Des négociations sont en cours, sous l'égide du ministre chargé des transports, et je crois savoir qu'elles se passent plutôt bien. À ce stade de nos discussions, j'aimerais toutefois avoir des précisions sur ce qui les attend. "
Matthias Tavel,LFI,"
Deux ans de plus, comme tout le monde, monsieur Le Fur ! "
Marc Le Fur,LR,"
La spécificité de leur régime sera-t-elle préservée ? Autrement dit, le caractère exigeant de ce travail sera-t-il toujours respecté par la nation ?Je me permettrais, madame la présidente, de prendre la parole après le ministre, le cas échéant. Nous n'avons pas du tout parlé des chauffeurs routiers, alors qu'ils sont bien plus nombreux que les chauffeurs de la RATP, dont il a été beaucoup question. "
Hélène Laporte,RN,"
Quel est l'avis de la commission ? "
Stéphanie Rist,REN,"
Je laisserai le ministre répondre plus longuement à cet amendement d'appel. Demande de retrait. "
Hélène Laporte,RN,"
Quel est l'avis du Gouvernement ? "
Hélène Laporte,RN,"
La parole est à M. Marc Le Fur. "
Marc Le Fur,LR,"
Ce ne sont pas les acteurs, mais les chauffeurs, comprenons-nous bien ! "
Marc Le Fur,LR,"
Je retiens les aspects positifs de votre réponse : la négociation est en cours et les principes qui guident actuellement l'âge de départ à la retraite demeurent. Vous avez évoqué un mixte entre le maintien des principes et la modernisation du dispositif. Pouvez-vous être plus clair quant à l'âge de départ des chauffeurs routiers, actuellement fixé à 57 ans ? Qu'en sera-t-il demain ? "
Marc Le Fur,LR,"
Le secteur de la logistique est important dans ma circonscription et emploie beaucoup de monde. Au-delà des négociations – j'entends qu'elles se déroulent plutôt bien et c'est tant mieux –, les personnes concernées espèrent obtenir un chiffre précis concernant l'âge de départ à la retraite. Sous réserve de votre réponse sur ce point, je suis prêt à retirer mon amendement. "
Hélène Laporte,RN,"
La parole est à M. le ministre. "
Nicolas Sansu,GDR,"
Est-ce que ce sera également deux ans de plus, et donc 59 ans ? "
Frédéric Petit,MODEM,"
Il s'agit d'un accord conventionnel ! "
Sophie Taillé-Polian,ECO,"
De toute façon, il faudra travailler plus, malgré la pénibilité ! "
Hélène Laporte,RN,"
La parole est à M. Marc Le Fur. "
Marc Le Fur,LR,"
Je retire mon amendement. Toutefois, l'âge est actuellement fixé à 57 ans. Qu'en sera-t-il demain ? 59 ans ? Ou le droit commun ? Il faut, à un moment donné, être précis, monsieur le ministre. Il faut aussi être audibles de l'opinion et de ceux qui sont sur le terrain, et non pas seulement des négociateurs. "
Hélène Laporte,RN,"
Je mets aux voix l'article 1er . "
Hélène Laporte,RN,"
Voici le résultat du scrutin :Nombre de votants 346Nombre de suffrages exprimés 344Majorité absolue 173Pour l'adoption 181Contre 163 "
Nadia Hai,REN,"
Le RN a voté contre la suppression des régimes spéciaux ; il faudra le dire à Jordan Bardella ! "
Hélène Laporte,RN,"
Les amendements identiques n° 1251  de M. Loïc Prud'homme et 13145 de M. Sébastien Rome sont défendus. "
Hélène Laporte,RN,"
La parole est à M. Pierre Dharréville, pour soutenir l'amendement n° 17427 . "
Pierre Dharréville,GDR,"
Il demande au Gouvernement de remettre un rapport au Parlement sur les effets de la suppression des régimes spéciaux et, en l'occurrence, de celui de la RATP qui n'a pas fait l'objet de négociations et pour lequel vous ne disposez pas d'une étude d'impact sérieuse. C'est pourquoi il nous paraît utile qu'un rapport précise la situation.Je dois dire que j'ai été un peu affligé, au cours de la discussion, par les manipulations auxquelles certains d'entre vous se sont livrés et selon lesquelles, en vous attaquant aux régimes spéciaux – que nous appelons, pour notre part, des régimes pionniers –, vous défendriez les ouvriers, les employés, les carreleurs, les femmes de ménage.Vous ne faites rien de la sorte et vous ne le ferez croire à personne ! Au lieu de défendre et de prendre soin du monde du travail, votre réforme produit l'inverse. Il faudra travailler deux ans de plus, voire davantage pour certaines et certains, avant de prétendre à la retraite, avec des contreparties imaginaires – notamment cette vraie fausse retraite minimum. En réalité, vous essayez de faire passer le droit à la retraite pour un droit qui serait trop généreux – le mot a été employé. Mais nous, nous n'avons pas la retraite honteuse ! Vous affaiblissez le régime par répartition, en réduisant les droits qu'il crée. C'est, en définitive, comme si Grosminet voulait sauver Titi ou comme si Garfield voulait sauver les lasagnes, sauf que, lui, il aime les lasagnes ! "
Hélène Laporte,RN,"
Quel est l'avis de la commission ? "
Stéphanie Rist,REN,"
Défavorable. "
Hélène Laporte,RN,"
Quel est l'avis du Gouvernement ? "
Hélène Laporte,RN,"
La parole est à M. Patrick Vignal. "
Patrick Vignal,REN,"
La réforme est-elle complètement juste ? Je ne le pense pas. Le groupe Renaissance a-t-il envie de la faire évoluer ? Je le crois. Mais je suis interpellé par l'attitude de nos collègues de La France insoumise – c'est moins le cas s'agissant des autres groupes de la NUPES. Personnellement, je dis les choses calmement ; le sujet est compliqué, l'ambiance effervescente, c'est le Parlement et je n'ai pas de souci avec cela. En revanche, nous parlons des régimes spéciaux : un salarié de la Banque de France qui accomplit très bien son travail perçoit, par exemple, une rémunération annuelle calculée sur la base de dix-sept mois. "
Patrick Vignal,REN,"
Si nous posons le débat, où est la justice sociale ? L'objectif est-il d'accompagner les gens ou de savoir que quatre personnes sur dix partiront plus tôt ? J'aimerais comprendre le fonctionnement de votre gauche. Votre gauche souhaite-t-elle que ceux qui ont le plus aident ceux qui ont le moins ou préfère-t-elle susciter, pour des raisons uniquement politiciennes, le buzz à l'Assemblée ? Vous êtes devenus des influenceurs non pas de téléréalité mais de l'hémicycle, et cela me gêne, moi qui suis vraiment de gauche ! "
Nadia Hai,REN,"
C'est nous, la gauche ! "
Hélène Laporte,RN,"
La parole est à M. Bertrand Pancher, pour soutenir l'amendement n° 20322 . "
Bertrand Pancher,LIOT,"
Nous sommes favorables à l'extinction de tous les régimes spéciaux, y compris, bien sûr, celui des parlementaires. Il serait sain, en revanche, que nous réfléchissions aux conditions d'aide des parlementaires lorsqu'ils achèvent leur mandat et souhaitent poursuivre des activités professionnelles. D'ailleurs, c'est le cas dans tous les Parlements voisins, mais pas en France – un parlementaire français dont le mandat est terminé doit se débrouiller : s'il est issu de la fonction publique, tant mieux ; mais si ce n'est pas le cas, tant pis pour lui ! Beaucoup aimeraient conserver quelques petits avantages, dont le régime spécial de retraite des parlementaires, mais nos concitoyens ne le comprendraient pas.Ensuite, si nous ne traitons pas de la totalité des régimes spéciaux, ne soyons pas surpris ensuite que certains bénéficiaires d'un régime spécial aient le sentiment que nous nous moquons d'eux, qu'ils ont signé en fonction de règles sur lesquelles nous revenons en permanence.Nous demandons donc, au minimum, un rapport, afin de nous éclairer sur l'extinction de tous les régimes spéciaux, à laquelle, je le répète, nous sommes favorables, même si nous sommes mal à l'aise, notamment sur le sujet que je viens d'évoquer. "
Hélène Laporte,RN,"
Quel est l'avis de la commission ? "
Stéphanie Rist,REN,"
Défavorable. "
Hélène Laporte,RN,"
Quel est l'avis du Gouvernement ? "
Hélène Laporte,RN,"
La parole est à M. Éric Woerth. "
Éric Woerth,REN,"
Je souhaite rassurer M. Pancher. Le régime de retraite des parlementaires n'est pas un régime spécial, mais un régime lié à l'autonomie constitutionnelle des assemblées. Il appartient donc au bureau de chaque assemblée, dans lequel toutes les formations politiques sont représentées, de fixer ses propres règles – l'Assemblée nationale n'a pas à s'intéresser à ce qui se passe au Sénat et vice-versa.Toutes les réformes des retraites ont été transposées dans le régime de l'Assemblée nationale, afin de l'aligner sur le droit classique, c'est-à-dire sur le régime général. Cela a été le cas en 2003, puis en 2010. Le régime de l'Assemblée est ainsi aligné sur celui des fonctionnaires, ce qui devrait vous rassurer monsieur Pancher et vous mettre à l'aise.Il ne s'agit pas d'un régime spécial au sens où nous l'entendons aujourd'hui, je le répète, mais d'un régime autonome, qui se justifie par la volonté de ne pas créer de confusion entre le Parlement et l'ensemble des autres institutions. Une décision de l'exécutif en la matière ne peut s'imposer au Parlement. L'autonomie des assemblées implique une gestion autonome, le bureau étant l'instance décisionnelle. Ce dernier décidera du régime ultérieur des parlementaires et transposera, sans doute, ce qui sera décidé dans le cadre de la présente réforme lorsqu'elle sera adoptée – et elle le sera – comme cela a été le cas en 2017. À cette date, le régime des parlementaires a profondément évolué, avec la suppression du dispositif de surcotisation,… "
Bruno Studer,REN,"
Exactement ! C'est nous qui l'avons fait ! "
Éric Woerth,REN,"
…qui permettait une double cotisation afin d'enregistrer des droits deux fois plus rapidement. "
Hélène Laporte,RN,"
La parole est à M. Alexandre Loubet, pour soutenir l'amendement n° 19146 . "
Alexandre Loubet,RN,"
Vous venez de voter la suppression de nombreux régimes spéciaux de retraite. Toutefois, après la fermeture des mines de charbon en 2004, l'État s'était engagé à garantir les acquis du régime minier jusqu'au dernier vivant. Malheureusement, les exemples démontrant le contraire se multiplient, notamment dans ma circonscription en Moselle. Par exemple, dans la commune de Falck, Filieris refuse de procéder au remplacement du médecin chargé des assujettis au régime minier, laissant près de 600 patients sur le carreau. À ce titre, nous avons interpellé, avec le maire de Falck, le ministre de la santé, dont nous attendons encore la réponse. Les infirmières et les infirmiers de Filieris, qui assurent les soins pour la Caisse autonome nationale de sécurité sociale dans les mines (CANSSM) sont même considérés comme des soignants de seconde zone, puisqu'ils n'ont pas bénéficié de la prime Ségur.L'abandon progressif des anciens mineurs est inacceptable et en dit long, d'ailleurs, sur l'indifférence que vous portez à la pénibilité au travail, dont vous parlez tant à travers votre réforme des retraites. Cet abandon trahit un engagement de l'État à l'égard de ces femmes et de ces hommes qui, dans la mine, ont contribué à la puissance industrielle de la France. La baisse continue du budget alloué à la gestion sociale de l'après-mine met en difficulté les anciens mineurs et les organismes qui les prennent en charge, tels que l'Agence nationale pour la garantie des droits des mineurs (ANGDM) ou Filieris.C'est pourquoi je vous invite, chers collègues, à adopter cet amendement, par lequel nous demandons un rapport, d'ici à la fin de l'année, afin de dresser un état des lieux de la prise en charge des anciens mineurs et de définir les besoins de financement pour que l'État tienne ses engagements. "
Hélène Laporte,RN,"
Quel est l'avis de la commission ? "
Stéphanie Rist,REN,"
Le rapport que vous demandez a déjà été publié, au cours de la précédente législature, par nos excellents collègues Thibault Bazin et Hélène Zannier, dans le cadre d'une mission flash de la commission. C'est pourquoi je vous invite à retirer votre amendement. "
Hélène Laporte,RN,"
Quel est l'avis du Gouvernement ? "
Hélène Laporte,RN,"
La parole est à Mme Mathilde Paris, pour soutenir l'amendement n° 20085 . "
Mathilde Paris,RN,"
Nous venons de voter la suppression du régime spécial du Cese, ce placard doré pour quelques privilégiés. Nous demandons qu'un rapport nous soit remis sur le coût des pensions versées jusqu'à présent à ses membres : songez qu'avant 2015, ils percevaient 700 euros de retraite complémentaire après cinq ans de mandat. En comparaison, je pense à Ludivine, que j'ai reçue dans ma permanence mobile, qui touchera moins de 700 euros mensuels de pension de retraite, alors qu'elle a travaillé toute sa vie. Face à une telle injustice, il me paraît nécessaire de rendre compte, devant le Parlement et devant les Français, du coût de ce régime spécial – qui continuera malheureusement de courir malgré le vote que nous venons d'effectuer. "
Hélène Laporte,RN,"
Quel est l'avis de la commission ? "
Stéphanie Rist,REN,"
Défavorable. "
Hélène Laporte,RN,"
Quel est l'avis du Gouvernement ? "
Hélène Laporte,RN,"
La parole est à M. Fabien Di Filippo. "
Fabien Di Filippo,LR,"
Le vote de l'article 1er induit la suppression de certains régimes spéciaux plus ou moins justifiés. Pour rappel, la précédente réforme des retraites avait augmenté les cotisations des membres du Cese et diminué leur pension. Je peux entendre que la suppression du régime spécial de certains métiers demande du temps et implique de prévoir une « clause du grand-père » – en conséquence de laquelle ils ne s'éteindront que dans quarante-trois ans. En revanche, le fait de siéger au Cese constitue davantage une fonction qu'un métier ou une carrière à proprement parler. Je comprends donc difficilement qu'il faille attendre quarante-trois ans pour voir s'éteindre le régime spécial dont bénéficie cette institution. "
Maxime Minot,LR,"
Eh oui ! "
Fabien Di Filippo,LR,"
Nous aurions pu réaliser des économies plus rapidement sur certains régimes spéciaux comme celui-ci, toujours déficitaires et toujours compensés, en appliquant des mesures parfaitement acceptables et équitables. "
Hélène Laporte,RN,"
La parole est à M. Erwan Balanant. "
Erwan Balanant,MODEM,"
Une fois encore, vous prenez pour prétexte le régime de retraite du Cese – régime que nous supprimons – pour mener une attaque en règle contre cette institution. Mesdames et messieurs du Rassemblement national, le Cese a une utilité forte dans notre pays. "
Maxime Minot,LR,"
Mais non, il ne sert à rien ! "
Erwan Balanant,MODEM,"
Plutôt que de le critiquer sans cesse, je vous invite à vous renseigner sur son travail, sa portée et son utilité. "
Fabien Di Filippo,LR,"
C'est un acte de candidature ! M. Balanant pense à sa reconversion ! "
Erwan Balanant,MODEM,"
Le CESE établit des rapports intéressants… "
Maxime Minot,LR,"
On est là pour les faire, les rapports ! "
Erwan Balanant,MODEM,"
Pourriez-vous m'écouter sans vociférer ? Je le répète : le Cese est utile et permet d'entretenir un lien entre le monde politique et la société civile. "
Erwan Balanant,MODEM,"
Vous qui proclamez sans cesse que vous êtes la voix du peuple, sachez que le Cese est aussi une certaine vision du peuple. Il représente la société civile constituée : il est constitué d'associations, de syndicats ou encore de représentants d'organisations patronales. "
Jean-Yves Bony,LR,"
C'est du copinage ! "
Vincent Descoeur,LR,"
Je pense qu'il va finir au Cese, il est bien parti ! "
Erwan Balanant,MODEM,"
Je ne comprends pas votre obstination à critiquer le Cese. Je vous invite plutôt à lire les nombreux et intéressants rapports qu'il produit – peut-être cela vous fera-t-il d'ailleurs adopter des positions plus pertinentes. "
Hélène Laporte,RN,"
Sur l'amendement n° 19661 , je suis saisie par le groupe Renaissance d'une demande de scrutin public.Le scrutin est annoncé dans l'enceinte de l'Assemblée nationale.La parole est à M. Bertrand Pancher. "
Bertrand Pancher,LIOT,"
Une vraie menace pèse sur notre société : celle de l'écroulement de notre démocratie. C'est la menace numéro un. Si nous ne nous évertuons pas sans relâche à renforcer la démocratie, autant faire un chèque en blanc aux extrémistes, aux dictateurs et à tous les zozos qui auront à prendre des décisions, et nous aurons tout perdu. "
Kévin Mauvieux,RN,"
Pour renforcer la démocratie, il faut écouter le peuple ! "
Bertrand Pancher,LIOT,"
Nous avons notamment pour devoir de renforcer les corps intermédiaires ; si nous ne trouvons pas des compromis avec eux, nous n'aboutirons jamais à des décisions de bon sens.L'obsession de supprimer le Cese est entretenue par des personnes qui ont envie de détruire la démocratie. Comment pourrait-on aboutir à des solutions de consensus sans les discuter avec les représentants des corps intermédiaires, les organisations syndicales, les organisations patronales, les organisations environnementales et les organisations d'agriculteurs ? "
Catherine Couturier,LFI,"
Les corps intermédiaires, vous ne les écoutez pas ! "
Bertrand Pancher,LIOT,"
Je n'étais pas hostile au vote d'un amendement faisant entrer le Cese dans le régime général des retraites, mais vos arguments ne nous donnent pas envie de vous suivre. "
Hélène Laporte,RN,"
La parole est à M. Daniel Labaronne. "
Daniel Labaronne,REN,"
Je souhaite rappeler à Mme Paris que les rapporteurs spéciaux de la commission des finances s'intéressent à la question qu'elle soulève. Pour ma part, en tant que rapporteur spécial de la mission ""Conseil et contrôle de l'État"" , j'ai dans mon portefeuille la Cour des comptes, le Conseil d'État et le Cese. Je publie tous les ans un rapport sur la gestion de ce dernier, qui aborde bien évidemment son système de retraite. En réponse à votre demande, madame la députée, je vous invite donc à lire les cinq rapports que j'ai publiés durant la précédente législature, et les cinq autres que je publierai certainement durant la législature actuelle. "
Hélène Laporte,RN,"
La parole est à Mme Émilie Bonnivard. "
Émilie Bonnivard,LR,"
Je peine à comprendre la position de M. Pancher, qui appelle tout à la fois à revoir les régimes spéciaux des parlementaires et à maintenir la pension de retraite des membres du Cese. L'amendement de Mme Paris vise simplement à porter à la connaissance de la représentation nationale le coût des pensions des anciens membres du Cese.Nous devons travailler sur l'acceptabilité de la réforme des retraites pour nos concitoyens, et devons par conséquent réduire tout ce qui peut constituer une injustice, une iniquité ou un déséquilibre. Voyons les choses en face : les pensions de retraite des membres du Cese sont excessives par rapport à leurs missions – ce, indépendamment de toute considération sur la légitimité de leur fonction. "
Sophia Chikirou,LFI,"
La jalousie vous perd ! "
Émilie Bonnivard,LR,"
Certains membres du Cese le reconnaissent eux-mêmes ; ils nous l'ont confié dans le cadre du débat sur les retraites. L'excès nuit en toute chose. Une mise à plat de la situation servirait le Cese plutôt qu'elle ne le desservirait. Soyons transparents sur son régime de retraite, et contribuons à renforcer la justice pour tous – d'autant que les membres du Cese accepteraient certainement de faire un petit effort. "
Hélène Laporte,RN,"
La parole est à Mme Mathilde Paris. "
Mathilde Paris,RN,"
Il est utile de rappeler que les membres du Cese sont nommés, et non pas élus. "
Erwan Balanant,MODEM,"
Cela a été réformé ! Il ne fonctionne plus comme cela ! "
Mathilde Paris,RN,"
C'est donc un placard doré pour des copains : voilà la gabegie que nous dénonçons. "
Mathilde Paris,RN,"
S'ils veulent effectuer correctement leur travail, les députés doivent rencontrer les divers organismes – représentants d'entreprises, etc. Or n'est-ce pas la mission que vous attribuez au Cese ? Redonnons le pouvoir aux représentants du peuple que nous sommes. "
Hélène Laporte,RN,"
La parole est à Mme la rapporteure générale. "
Stéphanie Rist,REN,"
Nous sommes toutes les deux des députées du Loiret, madame Paris. Sachez que c'est notamment grâce à la déclinaison régionale du Cese, le conseil économique, social et environnemental régional (Ceser) du Centre-Val de Loire, que nous avons obtenu un centre hospitalier universitaire à Orléans ; grâce à lui, nous aurons davantage de médecins dans notre région. "
Fabien Di Filippo,LR,"
Votre agence régionale de santé sera contente de l'apprendre ! "
Stéphanie Rist,REN,"
Nous devrions tous avoir à cœur de rappeler l'intérêt du Cese. "
Hélène Laporte,RN,"
La parole est à M. Marc Ferracci, pour soutenir l'amendement n° 19661 . "
Marc Ferracci,REN,"
En adoptant l'article 1er du projet de loi, nous avons franchi une étape importante dans la préservation de notre système de retraite par répartition. En effet, accepter de financer les déficits de certains régimes par le budget l'État – c'est-à-dire, par les contribuables –, c'est remettre en cause le principe même de la répartition.Au-delà de cette première étape importante, il nous faut continuer à améliorer le système pour le rendre plus juste. En particulier, nous devons, ensemble, poursuivre la réflexion sur la convergence des régimes et des règles, avec l'ambition – qui nous anime toujours – de nous rapprocher d'un système de retraite plus universel. C'est le sens du présent amendement.Je sais que le souhait d'aller vers un système de retraite plus universel est partagé au-delà des bancs de la majorité, ainsi que par certaines organisations syndicales. Nous souhaitons poursuivre cette réflexion en faisant prévaloir les principes d'équité et de justice, mais aussi de lisibilité des règles pour nos concitoyens, qui sont attachés à un système de retraite plus universel. Aussi demandons-nous un rapport sur les conditions et le calendrier de mise en œuvre d'un système de retraite vraiment universel. "
Hélène Laporte,RN,"
Quel est l'avis de la commission ? "
Stéphanie Rist,REN,"
Avis favorable. "
Hélène Laporte,RN,"
Quel est l'avis du Gouvernement ? "
Hélène Laporte,RN,"
La parole est à M. Stéphane Viry. "
Stéphane Viry,LR,"
Cet amendement a peut-être l'air de rien, mais il signifie beaucoup malgré tout. M. Ferracci nous explique en effet qu'il faudrait que l'on étudie la mutation profonde de notre système de retraite et que l'on envisage un calendrier pour le transformer en régime universel à points. Nous avons passé l'essentiel du quinquennat précédent sur cette chimère voulue par Emmanuel Macron et inscrite à son programme.Vous faites ici l'aveu d'une faiblesse, l'aveu de votre défaillance, parce qu'un haut-commissaire a travaillé sur cette question des mois durant, parce qu'ici même, dans cette maison, une commission spéciale s'est constituée pour travailler sur le projet que vous nous aviez soumis, parce que des travaux ont été menés par notre assemblée. Malgré cela, vous avez abouti au constat que le projet de loi était inabouti et qu'il ne fonctionnait pas, et le covid vous a servi de prétexte pour le retirer. "
Stéphane Viry,LR,"
Personne ne voulait, à l'époque de ce projet de loi, et certains collègues, qui ont rejoint la majorité, étaient alors à mes côtés pour combattre cette réforme qui ne fonctionnait pas.Alors ne venez pas remettre le sujet sur la table au détour du projet de loi dont nous discutons aujourd'hui ! Soit vous reveniez devant les Français avec cette réforme voulue par Emmanuel Macron, soit on n'en parle plus mais, lorsque vous tentez de remettre l'ouvrage sur le métier au travers d'un petit amendement, nous ne pouvons pas vous suivre. "
Hélène Laporte,RN,"
La parole est à M. Arthur Delaporte. "
Arthur Delaporte,SOC,"
Je ne répéterai pas ce qu'a dit mon collègue Stéphane Viry avec beaucoup de talent, mais en effet, la réforme de 2019 qu'on nous promettait comme la magie du système universel a été droit dans le mur et a rejoint les oubliettes de l'histoire.Si nous partageons l'idée qu'il faut un système de retraite plus juste, voire plus « universel », si cela signifie qu'il prendrait mieux en compte la pénibilité des différents métiers, la réforme que vous proposez aujourd'hui fait malheureusement exactement l'inverse.Quand je lis dans l'exposé des motifs de l'amendement que le rapport demandé porte sur un système voué à s'inscrire « dans le prolongement de la réforme portée dans le présent PLFRSS », j'ai la confirmation que vous voulez simplement renforcer les inégalités que vous allez contribuer à créer avec le report de l'âge légal de départ à la retraite à 64 ans. On ne peut donc soutenir ni la philosophie de votre réforme ni cette demande de rapport qui sont à l'opposé de la réforme véritablement juste et égalitaire que nous défendons. Nous voterons donc contre cet amendement. "
Hélène Laporte,RN,"
La parole est à Mme Raquel Garrido. "
Raquel Garrido,LFI,"
Après cinq jours de débat, vous voilà démasqués. "
Raquel Garrido,LFI,"
Il a fallu attendre cinq jours pour que vous sortiez du bois – ou du buisson –, pour que nous découvrions le pot aux roses. En réalité, comme vous l'avez dit vous-même, monsieur Ferracci, la suppression de certains régimes spéciaux par le vote de l'article 1er n'était qu'une « étape ». Ceux qui n'ont pas encore été mis au supplice ne perdent rien pour attendre.Messieurs et mesdames les policiers , "
Raquel Garrido,LFI,"
les pompiers, les surveillants pénitentiaires, les contrôleurs aériens, les militaires, les douaniers, les avocats, les danseurs de l'Opéra, vous êtes les prochains sur la liste ! "
Raquel Garrido,LFI,"
Vous ne pourrez pas dire que vous ne le saviez pas : notre collègue Marc Ferracci est un proche du président Macron. Lorsqu'il parle, c'est l'Élysée qui s'exprime directement par sa voix. "
Raquel Garrido,LFI,"
Mobilisez-vous, venez manifester en nombre le 11 février ! Vous êtes prévenus du danger.Collègues de la majorité, ne prétendez pas qu'il s'agit d'une simple demande de rapport. Il faudrait savoir : soit votre réforme se justifie par son utilité, soit elle ne sert à rien, auquel cas il faut décidément la retirer ! "
Hélène Laporte,RN,"
La parole est à M. Pierre Dharréville. "
Pierre Dharréville,GDR,"
Je suis effectivement un peu surpris de vous voir ressortir du placard cette réforme mitée. Lors du précédent quinquennat, vous avez échoué à instaurer le système universel de retraites, et voilà qu'il reparaît au moyen d'un amendement. Cela montre bien que, selon vous, ce projet de loi n'est pas le bon, qu'il en annonce un autre à venir, que nous n'en avons pas fini avec la casse du système de retraites, qu'il y a encore dans les placards des projets qui abîmeront notre droit. "
Michèle Peyron,REN,"
Qui l'amélioreront ! "
Pierre Dharréville,GDR,"
Cet amendement traduit tout cela. Il serait préférable de l'assumer, de dire clairement que cette réforme sera rapidement suivie d'une autre, qui dégradera encore davantage la situation. "
Michèle Peyron,REN,"
Qui l'améliorera ! "
Pierre Dharréville,GDR,"
Tout n'a pas été dit dans la discussion du présent texte, déjà désastreux pour le droit à la retraite de l'ensemble du monde du travail. En réalité, le Gouvernement et la majorité disposent déjà de tous les éléments nécessaires pour rédiger le rapport que vous demandez : déçus par les conclusions du Conseil d'orientation des retraites, vous lui avez déjà enjoint de revoir sa copie, et ainsi de suite. Vous avez amplement les moyens de produire les études qui vous permettront de pousser plus loin cette logique délétère de casse du droit à la retraite. Le message que vous envoyez en déposant cet amendement est le suivant : « La casse n'est pas finie, elle continuera dès demain. » "
Hélène Laporte,RN,"
La parole est à M. Thomas Ménagé. "
Thomas Ménagé,RN,"
Madame la rapporteure générale, Mathilde Paris, vous et moi avons effectivement la chance d'habiter la très belle région Centre-Val de Loire. "
Daniel Labaronne,REN,"
Oui ! "
Thomas Ménagé,RN,"
Mais, si nous avons obtenu l'ouverture d'un CHU, ce n'est pas grâce au Ceser – ni grâce à M. Castex, comme le disent certains –, mais parce que la région souffrait d'une désertification médicale catastrophique. "
Aurore Bergé,REN,"
Ce n'est pas l'amendement ! "
Thomas Ménagé,RN,"
Tous les élus se sont joints aux corps intermédiaires pour interpeller les pouvoirs publics sur notre situation déplorable. Je tiens à vous rappeler le coût du Cese et du Ceser pour les finances publiques : il s'élève respectivement à 46 millions et à 63 millions en 2023, soit au total près de 110 millions d'euros. "
Erwan Balanant,MODEM,"
Quel rapport avec l'amendement ? "
Bruno Millienne,MODEM,"
Quel rapport avec l'amendement ? "
Thomas Ménagé,RN,"
Avec 110 millions, on peut construire un hôpital, avec ou sans le Ceser ! "
Hélène Laporte,RN,"
Cher collègue, cela est sans rapport avec l'amendement.La parole est à Mme Sandrine Rousseau. "
Sandrine Rousseau,ECO,"
Nous ne voterons pas cet amendement, qui s'apparente à une tentative de revenir par la fenêtre lorsqu'on vous a chassés par la porte. Cette réforme visant à instaurer la retraite par points, nous l'avons chassée. "
Ludovic Mendes,REN,"
Vous n'étiez même pas là ! "
Sandrine Rousseau,ECO,"
C'est la seule réforme à laquelle Emmanuel Macron a dû renoncer. Nous vous voyons venir avec vos gros sabots, espérant imposer demain une réforme encore plus libérale que celle dont nous débattons aujourd'hui. Ce sera non ! Non à votre demande de rapport, non à votre réforme, et non à celle que vous visez pour l'avenir. "
Hélène Laporte,RN,"
La parole est à M. Erwan Balanant. "
Erwan Balanant,MODEM,"
La réforme visant un système de retraite par points a été abandonnée lors du quinquennat précédent. Ne réécrivons pas l'histoire : ce retrait s'expliquait aussi par des circonstances externes. "
Erwan Balanant,MODEM,"
Par ailleurs, monsieur Delaporte, vous venez d'affirmer que nous proposons une réforme injuste. Permettez-moi d'observer qu'il s'agit d'une déclinaison de la vôtre, puisqu'elle a pour effet d'accélérer la mise en œuvre de la réforme Touraine. "
Erwan Balanant,MODEM,"
Elle met fin à l'hypocrisie de la réforme Touraine en repoussant officiellement l'âge de départ à la retraite ; car lorsqu'on commence à travailler à 21 ans et qu'on doit cumuler quarante-trois annuités, comme le voulait votre réforme, on part à taux plein à 64 ans – c'est mathématique. "
Inaki Echaniz,SOC,"
Fake news ! "
Erwan Balanant,MODEM,"
Plusieurs organisations syndicales réformistes ont suggéré encore récemment de passer à un système de retraite par points. Ce n'est certes pas le sujet qui nous occupe aujourd'hui, mais précisons tout de même quelle en serait l'utilité. D'une part, ce système serait équitable. D'autre part, il permettrait une réelle prise en compte de la pénibilité, au moyen, par exemple, d'une pondération des points. "
Erwan Balanant,MODEM,"
Je peine à comprendre votre opposition à cette réforme dont le groupe Démocrate regrette l'abandon, car elle aurait représenté une réelle innovation sociale et un réel progrès. "
Hélène Laporte,RN,"
La parole est à M. Bruno Studer. "
